Punch ID,Task Number,Punch,Type Of Punch,Punch Status,RevisionDate,RevisionNumber,Item,ItemType,Disc,Form Type,PrvPunchId
278,AX015259,ارت موتور تکمیل نشده است.,2,0,03:39.3,0,CT-E44/B,MOTOR_LV,EL,CPX13,NULL
279,AX015248,ارت موتور تکمیل نشده است.,2,0,24:00.5,0,CT-E43/C,MOTOR_LV,EL,CPX13,NULL
280,AX015242,ارت موتور تکمیل نشده است.,2,0,24:05.2,0,CT-E43/B,MOTOR_LV,EL,CPX13,NULL
281,AX015236,ارت موتور تکمیل نشده است.,2,0,24:07.2,0,CT-E43/A,MOTOR_LV,EL,CPX13,NULL
282,AX015903,ارت موتور تکمیل نشده است.,2,0,53:49.2,0,CV-F104,MOTOR_LV,EL,CPX13,NULL
283,AX015916,ارت موتور تکمیل نشده است.,2,0,12:33.2,0,CP-B01,MOTOR_MV,EL,CPX12,NULL
284,AX015933,ارت موتور تکمیل نشده است.,2,0,19:53.2,0,CP-C11,MOTOR_MV,EL,CPX12,NULL
285,AX015925,ارت موتور تکمیل نشده است.,2,0,54:33.3,0,CP-A48/C,MOTOR_MV,EL,CPX12,NULL
286,AX015922,ارت موتور تکمیل نشده است.,2,0,54:36.3,0,CP-A48/B,MOTOR_MV,EL,CPX12,NULL
287,AX015947,ارت موتور تکمیل نشده است.,2,0,08:20.1,0,CP-D03,MOTOR_MV,EL,CPX12,NULL
296,AX015954,ارت موتور تکمیل نشده است.,2,0,41:01.1,0,PU-E21,MOTOR_MV,EL,CPX12,NULL
297,AX015468,ارت موتور تکمیل نشده است.,2,0,57:48.0,0,PU-E33/C,MOTOR_LV,EL,CPX13,NULL
298,AX015462,ارت موتور تکمیل نشده است.,2,0,57:49.9,0,PU-E33/B,MOTOR_LV,EL,CPX13,NULL
299,AX015456,ارت موتور تکمیل نشده است.,2,0,57:51.7,0,PU-E33/A,MOTOR_LV,EL,CPX13,NULL
300,AX015603,ارت موتور تکمیل نشده است.,2,0,33:33.5,0,PU-E97/A/MCC,MOTOR_LV,EL,CPX13,NULL
301,AX015608,ارت موتور تکمیل نشده است.,2,0,33:35.4,0,PU-E97/B/MCC,MOTOR_LV,EL,CPX13,NULL
302,AX015940,ارت موتور تکمیل نشده است.,2,0,28:19.2,0,CP-A71,MOTOR_MV,EL,CPX12,NULL
303,AX018012,ارت موتور تکمیل نشده است.,2,0,01:42.1,0,CP-A48/A,MOTOR_MV,EL,CPX12,NULL
304,AX015908,ارت موتور تکمیل نشده است.,2,0,38:43.4,0,CV-F105,MOTOR_LV,EL,CPX13,NULL
305,AX015264,ارت موتور تکمیل نشده است.,2,0,09:47.4,0,CV-F106/A,MOTOR_LV,EL,CPX13,NULL
306,AX015270,ارت موتور تکمیل نشده است.,2,0,10:00.7,0,CV-F106/B,MOTOR_LV,EL,CPX13,NULL
307,AX015276,ارت موتور تکمیل نشده است.,2,0,47:41.6,0,CV-F107/A,MOTOR_LV,EL,CPX13,NULL
308,AX015282,ارت موتور تکمیل نشده است.,2,0,47:47.9,0,CV-F107/B,MOTOR_LV,EL,CPX13,NULL
309,AX015288,ارت موتور تکمیل نشده است.,2,0,52:27.5,0,CV-F108,MOTOR_LV,EL,CPX13,NULL
310,AX015293,ارت موتور تکمیل نشده است.,2,0,57:11.2,0,CV-F109,MOTOR_LV,EL,CPX13,NULL
311,AX015930,ارت موتور تکمیل نشده است.,2,0,49:44.8,0,CP-A51/B,MOTOR_MV,EL,CPX12,NULL
312,AX015928,ارت موتور تکمیل نشده است.,2,0,49:48.9,0,CP-A51/A,MOTOR_MV,EL,CPX12,NULL
313,AX017092,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,02:09.2,0,PT-E22,PRESS_TRANS,IN,CJX00,NULL
